"Name","Genre"
"Dragomir","m"
"Dragorok","m"
"Dragoslav","m"
"Dragotin","m"
"Dragovan","m"
"Dragovit","m"
"Dragožit","m"
"Dragutin","m"
"Dražigost","m"
"Drejc","m"
"Družiljub","m"
"Držimir","m"
"Dušan","m"
"Edi","m"
"Edin","m"
"Edvard","m"
"Eldin","m"
"Elvis","m"
"Eman","m"
"Emil","m"
"Enis","m"
"Erazem","m"
"Erik","m"
"Ernest","m"
"Ervin","m"
"Feliks","m"
"Ferdinand","m"
"Ferenc","m"
"Filip","m"
"Florijan","m"
"Florjan","m"
"Fran","m"
"Franc","m"
"France","m"
"Franci","m"
"Franjo","m"
"Frančišek","m"
"Friderik","m"
"Gaber","m"
"Gabrijel","m"
"Gaj","m"
"Gal","m"
"Ganej","m"
"Gašper","m"
"Glavač","m"
"Glavaš","m"
"Gnevaš","m"
"Godemir","m"
"Godemisl","m"
"Godež","m"
"Gojko","m"
"Gojmir","m"
"Golan","m"
"Golodrag","m"
"Golomir","m"
"Golotek","m"
"Gonimir","m"
"Goran","m"
"Gorazd","m"
"Gostibil","m"
"Gostidrag","m"
"Gostiša","m"
"Grben","m"
"Grega","m"
"Gregor","m"
"Grešič","m"
"Hamza","m"
"Hasan","m"
"Henrik","m"
"Herman","m"
"Hervard","m"
"Hoten","m"
"Hotimir","m"
"Hrast","m"
"Hudimar","m"
"Hugo","m"
"Ignac","m"
"Ignacij","m"
"Igor","m"
"Ingo","m"
"Inko","m"
"Ivan","m"
"Ivano","m"
"Ivo","m"
"Izbor","m"
"Izidor","m"
"Iztok","m"
"Jaka","m"
"Jakob","m"
"Jalen","m"
"Jan","m"
"Janez","m"
"Janez*","m"
"Jani","m"
"Janko","m"
"Jasmin","m"
"Jastreb","m"
"Jaš","m"
"Jelen","m"
"Jernej","m"
"Jesen","m"
"Jonas","m"
"Josip","m"
"Jože","m"
"Jožef","m"
"Joško","m"
"Julian","m"
"Julij","m"
"Julijan","m"
"Jure","m"
"Jurij","m"
"Juš","m"
"Kai","m"
"Kajtimir","m"
"Kako","m"
"Kan","m"
"Karel","m"
"Karl","m"
"Karol","m"
"Kasne","m"
"Kenan","m"
"Kian","m"
"Klemen","m"
"Kocel","m"
"Kolo","m"
"Konrad","m"
"Kosar","m"
"Kragulj","m"
"Kralj","m"
"Krepek","m"
"Kris","m"
"Kristian","m"
"Kristijan","m"
"Kristjan","m"
"Krištof","m"
"Krmišin","m"
"Kunigoj","m"
"Ladimar","m"
"Ladislav","m"
"Lado","m"
"Lars","m"
"Lastimir","m"
"Leon","m"
"Leonard","m"
"Leonardo","m"
"Leopold","m"
"Lev","m"
"Lin","m"
"Ljuban","m"
"Ljubej","m"
"Ljubin","m"
"Ljubo","m"
"Ljudevit","m"
"Ljut","m"
"Ljutič","m"
"Ljuto","m"
"Ljutomir","m"
"Ljutovid","m"
"Lovrenc","m"
"Lovro","m"
"Luan","m"
"Lucas","m"
"Ludvik","m"
"Luka","m"
"Maj","m"
"Maks","m"
"Maksim","m"
"Maksimilijan","m"
"Maksimiljan","m"
"Malej","m"
"Manjdrag","m"
"Manjsvet","m"
"Manuel","m"
"Marcel","m"
"Marijan","m"
"Mario","m"
"Marjan","m"
"Mark","m"
"Marko","m"
"Marsel","m"
"Martin","m"
"Matej","m"
"Mateo","m"
"Matevž","m"
"Matias","m"
"Matic","m"
"Matija","m"
"Matjaž","m"
"Metod","m"
"Miha","m"
"Mihael","m"
"Mil","m"
"Milan","m"
"Milaš","m"
"Milej","m"
"Milorad","m"
"Miloš","m"
"Miran","m"
"Mirigoj","m"
"Mirko","m"
"Miro","m"
"Miromisl","m"
"Miroslav","m"
"Mirsad","m"
"Misl","m"
"Mistislav","m"
"Mitja","m"
"Mladen","m"
"Mnigoj","m"
"Mogoj","m"
"Moitik","m"
"Motak","m"
"Motilo","m"
"Možič","m"
"Munimir","m"
"Nadovid","m"
"Nai","m"
"Nebomir","m"
"Nedelj","m"
"Nedeljko","m"
"Negoj","m"
"Negomir","m"
"Negota","m"
"Nejc","m"
"Nemanja","m"
"Nenad","m"
"Nenadej","m"
"Neo","m"
"Nepokor","m"
"Nežir","m"
"Nežič","m"
"Neško","m"
"Nick","m"
"Nik","m"
"Niko","m"
"Nikola","m"
"Nikolaj","m"
"Nikolas","m"
"Nil","m"
"Nino","m"
"Nitrabor","m"
"Noel","m"
"None","m"
"Nosimir","m"
"Odlog","m"
"Oliver","m"
"Omisl","m"
"Oto","m"
"Očeslav","m"
"Patrik","m"
"Pavel","m"
"Pero","m"
"Perun","m"
"Petanko","m"
"Petar","m"
"Peter","m"
"Pešec","m"
"Pitalo","m"
"Pomik","m"
"Predimir","m"
"Predislav","m"
"Premil","m"
"Premisl","m"
"Pribibor","m"
"Pribigoj","m"
"Pribina","m"
"Pribislav","m"
"Primož","m"
"Prisnec","m"
"Prisnoboda","m"
"Prodan","m"
"Prosilo","m"
"Prvin","m"
"Radegost","m"
"Radek","m"
"Raden","m"
"Radigoj","m"
"Radiš","m"
"Rado","m"
"Radob","m"
"Radom","m"
"Radomer","m"
"Radomir","m"
"Radomisla","m"
"Radovan","m"
"Radovin","m"
"Radoš","m"
"Raduš","m"
"Rafael","m"
"Rajko","m"
"Ratimer","m"
"Rašmen","m"
"Renato","m"
"Robert","m"
"Robi","m"
"Rodan","m"
"Rok","m"
"Roko","m"
"Roman","m"
"Rožle","m"
"Rudi","m"
"Rudolf","m"
"Samo","m"
"Samoslav","m"
"Samuel","m"
"Sandi","m"
"Saša","m"
"Sašo","m"
"Sebastian","m"
"Sebastijan","m"
"Sebastjan","m"
"Sebeteh","m"
"Sebidrag","m"
"Sebimir","m"
"Sejan","m"
"Semika","m"
"Senad","m"
"Sergej","m"
"Silvester","m"
"Silvo","m"
"Simon","m"
"Sitilaž","m"
"Slabotin","m"
"Slavko","m"
"Slavoboj","m"
"Slobodan","m"
